"","AG1","AG2","AG3"
"BI/15793/68",-10.1539699850682,-4.62165858555387,-1.83060122262786
"BI/16190/68",-10.4287625909129,-4.70175988110468,-1.39837111233136
"BI/16398/68",-10.9126078258112,-3.5815439090452,-2.20807461723567
"BI/808/69",-9.33420770093881,-2.9459011908054,-2.18221446647962
"BI/908/69",-10.3371073428429,-3.91367477656331,-2.70474163433574
"BI/17938/69",-10.3615617257498,-4.60434439969564,-2.26757914391905
"BI/93/70",-11.3404157490877,-3.73039117068228,-3.2400455943839
"BI/2668/70",-10.4929708957677,-5.19144651340405,-2.65620557171791
"BI/6449/71",-13.9486201661005,-3.05165662692838,-2.76190368284642
"BI/21438/71",-10.8645414835523,-3.74128267284023,-2.19977099651111
"BI/21801/71",-10.9436332400339,-3.74192687162685,-2.17584905729311
"BI/6022/72",-11.0741610833764,-3.71122394120469,-1.13815377139738
"BI/5168/76",-9.60780870879336,1.12375363382912,2.15148110315259
"BI/4273/75",-13.0419615840469,-1.66016796748318,1.77479055077999
"BI/334/75",-12.342157177629,-2.12785902346297,3.29387841902486
"BI/1843/75",-10.5172796817347,-3.15478726427394,2.41883050765873
"BI/21793/72",-11.5132338671053,-3.14126830578991,0.478691994386085
"BI/23290/72",-11.2924771857982,-3.36784662047422,1.13804169812272
"BI/23337/72",-11.2931558756301,-3.36779065254626,1.13795665611724
"BI/552/73",-11.0369615757681,-2.69699730076121,1.04816977108076
"BI/748/73",-11.5833743720793,-3.40425598742172,1.41517189006265
"BI/3517/73",-11.5598044368767,-3.3604853786598,0.827588657882273
"BI/5146/74",-12.6367080050623,-2.83367899583151,1.93297919984334
"BI/5930/74",-11.0585606723467,-3.72794148988505,1.21267793924438
"BI/5931/74",-11.5612080814869,-3.53913510565485,2.38257102188219
"BI/7398/74",-11.5902863480306,-2.64437481636284,2.49495623659875
"BI/9459/74",-11.361465869031,-2.59725161692997,1.58817958463096
"BI/2600/75",-12.5663546498485,-2.05794256119371,1.60188758047203
"BI/2813/75",-10.8142741734291,-4.08467909865269,1.40148198737913
"BI/628/76",-6.95525443695576,0.0372587363668962,2.56619203015658
"BI/1761/76",-9.44284960581864,1.69358720246444,1.51822544732547
"BI/2271/76",-6.93596468758927,-0.0573019630192796,2.48866502066897
"BI/5029/76",-9.24482017828947,2.22796693937901,1.68332027292993
"BI/5657/76",-9.16096149999468,1.92386939554134,1.61605276087438
"BI/6545/76",-9.14604817459711,1.79970853763034,1.6139494226255
"AM/1609/77",-9.38613418666671,0.645510806192718,1.38667774157906
"BI/3895/77",-9.06469121128428,1.40961302893937,1.54199268961479
"RD/5828/77",-10.1297747810733,1.17223437633674,0.907217430630169
"RD/8179/77",-9.35829492776941,1.14968248062948,1.28262371577278
"NL/209/80",-5.48590418021666,1.58683375957102,4.1210103997902
"RD/577/80",-5.53135270096184,1.55497046040063,4.19993670928555
"NL/233/82",-5.38971479841895,2.4050275526741,4.5210765256719
"NL/241/82",-5.31770515169182,2.04197047639899,4.25066969641538
